random_seed,fold,threshold,roc_auc,C,nps__executive__digits_forward_span,nps__executive__digits_backward_span,nps__executive__tmt_a,nps__executive__tmt_a_err,nps__executive__tmt_b,nps__executive__tmt_b_err,nps__mmse__Language_Key,nps__mmse__Language_Pencil,nps__mmse__Language_Written_Instruction,nps__mmse__Language_Written_Sentence,nps__mmse__Copy_Figure,nps__mmse__Total_Temporal_Orientation,nps__mmse__Total_Spatial_Orientation,nps__mmse__Total_Attention,nps__mmse__Total_Concentration,nps__mmse__Total_Memory,nps__mmse__Language_Phrase,nps__mmse__Language_Verbal_Instruction
3,0,[None],0.9648760330578512,0.0001,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1
3,1,[None],0.9876033057851239,1.1347827005395688,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
3,2,[None],0.9834710743801653,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
9,0,[None],0.9958677685950413,0.0001,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
9,1,[None],0.9710743801652892,0.3897972451312366,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2,[None],0.96900826446281,1.1373231590839683,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
27,0,[None],0.987603305785124,0.9866152564757751,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0
27,1,[None],0.993801652892562,0.0001,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
27,2,[None],0.981404958677686,0.5578866317165094,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0,[None],0.9938016528925621,1.5288342459245248,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
81,1,[None],1.0,1.352699623296833,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1
81,2,[None],0.9710743801652892,0.3128940687141487,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
243,0,[None],0.9855371900826446,0.0001,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.9958677685950413,2.0585473711308153,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
243,2,[None],0.9772727272727273,1.3753420196481878,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0
729,0,[None],0.9917355371900827,0.10972738588837606,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0
729,1,[None],0.981404958677686,0.0001,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1
729,2,[None],0.9834710743801652,2.0585473711308153,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,0,[None],0.981404958677686,0.3163775793729382,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
2187,1,[None],0.993801652892562,15.601948442379607,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.9855371900826446,1.3720039298139235,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1
6561,0,[None],0.993801652892562,2.0585473711308153,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
6561,1,[None],0.9772727272727272,0.0001,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
6561,2,[None],0.9876033057851239,0.9716690485267196,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
19683,0,[None],0.981404958677686,0.0001,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
19683,1,[None],0.981404958677686,2.0585473711308153,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
19683,2,[None],1.0,2.0585473711308153,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.9958677685950413,0.0001,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
59049,1,[None],0.9710743801652892,1.636173791292609,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
59049,2,[None],0.981404958677686,0.6995254845323823,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
